module_id	module_label	visit_week	baseline_bmi_group	n	mean_module_score	sd_module_score	median_module_score
M08_curated_lysosome_autophagy_proxy	Curated lysosome, autophagy and xenophagy proxy	17	BMI_ge_18_5	17	0.11832192464676253	0.3668431745642261	0.11011652208530401
M08_curated_lysosome_autophagy_proxy	Curated lysosome, autophagy and xenophagy proxy	17	BMI_lt_18_5	13	0.017312912441692314	0.3738104406271784	0.04368590855790747
M08_curated_lysosome_autophagy_proxy	Curated lysosome, autophagy and xenophagy proxy	26	BMI_ge_18_5	17	0.0028472040353818896	0.42037528124818113	-0.003969006123670398
M08_curated_lysosome_autophagy_proxy	Curated lysosome, autophagy and xenophagy proxy	26	BMI_lt_18_5	13	0.10492884167863781	0.45499394683900685	0.15392461087760204
M08_curated_lysosome_autophagy_proxy	Curated lysosome, autophagy and xenophagy proxy	52	BMI_ge_18_5	17	0.04399087010372341	0.3724179895810551	0.039296768037207094
M08_curated_lysosome_autophagy_proxy	Curated lysosome, autophagy and xenophagy proxy	52	BMI_lt_18_5	13	0.06465755859275371	0.39184471028853196	-0.048117076654835764
M09_curated_hla_proteasome_antigen	Curated HLA, proteasome and antigen presentation	0	BMI_ge_18_5	17	0.19857443572260888	0.37811846650427294	0.1948065795592241
M09_curated_hla_proteasome_antigen	Curated HLA, proteasome and antigen presentation	0	BMI_lt_18_5	13	0.06511617436562188	0.4051411386376256	0.095300292637152
M09_curated_hla_proteasome_antigen	Curated HLA, proteasome and antigen presentation	8	BMI_ge_18_5	17	-0.008885417350608908	0.43443977910508463	0.07449503910034344
M09_curated_hla_proteasome_antigen	Curated HLA, proteasome and antigen presentation	8	BMI_lt_18_5	13	0.011795816911297073	0.4315477835103101	-0.12355132985037082
M09_curated_hla_proteasome_antigen	Curated HLA, proteasome and antigen presentation	17	BMI_ge_18_5	17	-0.03013511711583478	0.5499800395170843	-0.02885860702622451
M09_curated_hla_proteasome_antigen	Curated HLA, proteasome and antigen presentation	17	BMI_lt_18_5	13	-0.042972500301935015	0.41040306431132556	-0.06662430892009714
M09_curated_hla_proteasome_antigen	Curated HLA, proteasome and antigen presentation	26	BMI_ge_18_5	17	-0.030347013683452516	0.393927056646259	0.05334692366021923
M09_curated_hla_proteasome_antigen	Curated HLA, proteasome and antigen presentation	26	BMI_lt_18_5	13	-0.03175229038933532	0.44031066709954103	-0.09304112319223762
M09_curated_hla_proteasome_antigen	Curated HLA, proteasome and antigen presentation	52	BMI_ge_18_5	17	-0.028354168763401865	0.34732028607586346	0.02188202722373636
M09_curated_hla_proteasome_antigen	Curated HLA, proteasome and antigen presentation	52	BMI_lt_18_5	13	-0.1340715251824653	0.3081866609595685	-0.15965935351180904
M11_curated_metal_nutritional_immunity	Curated metal handling and nutritional immunity	0	BMI_ge_18_5	17	0.1235428300160687	0.5683584387361665	0.1477471639273469
M11_curated_metal_nutritional_immunity	Curated metal handling and nutritional immunity	0	BMI_lt_18_5	13	0.6307133059436697	0.815414034416634	0.5471007524074978
M11_curated_metal_nutritional_immunity	Curated metal handling and nutritional immunity	8	BMI_ge_18_5	17	-0.1966656257399592	0.30941446460929095	-0.24468908024975494
M11_curated_metal_nutritional_immunity	Curated metal handling and nutritional immunity	8	BMI_lt_18_5	13	0.14814901385860968	0.470860614974176	-0.01214177810143316
M11_curated_metal_nutritional_immunity	Curated metal handling and nutritional immunity	17	BMI_ge_18_5	17	-0.25051453922643907	0.23113913391022234	-0.23812363756596555
M11_curated_metal_nutritional_immunity	Curated metal handling and nutritional immunity	17	BMI_lt_18_5	13	0.06730088685960064	0.4454068476552059	-0.008553469635733557
M11_curated_metal_nutritional_immunity	Curated metal handling and nutritional immunity	26	BMI_ge_18_5	17	-0.17408819780371418	0.31753465033012834	-0.17948493827523687
M11_curated_metal_nutritional_immunity	Curated metal handling and nutritional immunity	26	BMI_lt_18_5	13	0.020782008872764626	0.3838188316383795	0.023560456627906068
M11_curated_metal_nutritional_immunity	Curated metal handling and nutritional immunity	52	BMI_ge_18_5	17	-0.19966412330240776	0.2554635739085782	-0.20238033436932928
M11_curated_metal_nutritional_immunity	Curated metal handling and nutritional immunity	52	BMI_lt_18_5	13	0.04502587315458273	0.5767181220725558	-0.12453574478190596
M12_curated_vitaminD_AMP_humoral	Curated vitamin D, antimicrobial peptide and humoral proxy	0	BMI_ge_18_5	17	-0.037389030337342324	0.6504238149999056	-0.15280122741296617
M12_curated_vitaminD_AMP_humoral	Curated vitamin D, antimicrobial peptide and humoral proxy	0	BMI_lt_18_5	13	-0.05380847242729002	0.6309842179951641	0.0016949626132720663
M12_curated_vitaminD_AMP_humoral	Curated vitamin D, antimicrobial peptide and humoral proxy	8	BMI_ge_18_5	17	-0.04379350215768483	0.4901304524145171	-0.08304702053933026
M12_curated_vitaminD_AMP_humoral	Curated vitamin D, antimicrobial peptide and humoral proxy	8	BMI_lt_18_5	13	-0.049283776019956226	0.5330928138097147	-0.2429479177547298
M12_curated_vitaminD_AMP_humoral	Curated vitamin D, antimicrobial peptide and humoral proxy	17	BMI_ge_18_5	17	-0.002536526874433927	0.5678562653027635	0.02716587153098941
M12_curated_vitaminD_AMP_humoral	Curated vitamin D, antimicrobial peptide and humoral proxy	17	BMI_lt_18_5	13	0.06245937177449448	0.5224664264593608	0.14628321237451722
M12_curated_vitaminD_AMP_humoral	Curated vitamin D, antimicrobial peptide and humoral proxy	26	BMI_ge_18_5	17	-0.01221523659378275	0.5570205069691021	-0.07882028811729927
M12_curated_vitaminD_AMP_humoral	Curated vitamin D, antimicrobial peptide and humoral proxy	26	BMI_lt_18_5	13	0.04420890364350827	0.5756878681282904	-0.2410318667702112
M12_curated_vitaminD_AMP_humoral	Curated vitamin D, antimicrobial peptide and humoral proxy	52	BMI_ge_18_5	17	-0.1005155016203031	0.6517102448922439	0.03305114156749443
M12_curated_vitaminD_AMP_humoral	Curated vitamin D, antimicrobial peptide and humoral proxy	52	BMI_lt_18_5	13	0.10469322815875419	0.729461516063791	0.11335489835216521
M13_curated_endocrine_immunometabolic	Curated endocrine and systemic immunometabolic signalling	0	BMI_ge_18_5	17	-0.4165392337684692	0.4750972836131151	-0.3843424935567588
M13_curated_endocrine_immunometabolic	Curated endocrine and systemic immunometabolic signalling	0	BMI_lt_18_5	13	-0.4512586349604736	0.37895384793601866	-0.47280468122195773
M13_curated_endocrine_immunometabolic	Curated endocrine and systemic immunometabolic signalling	8	BMI_ge_18_5	17	-0.0420694526951638	0.4503610234043618	-0.06389477564496192
M13_curated_endocrine_immunometabolic	Curated endocrine and systemic immunometabolic signalling	8	BMI_lt_18_5	13	-0.19211920448951114	0.36222523611205604	-0.2256494177950358
M13_curated_endocrine_immunometabolic	Curated endocrine and systemic immunometabolic signalling	17	BMI_ge_18_5	17	0.20797401511882777	0.3853174467995558	0.13600362988745363
M13_curated_endocrine_immunometabolic	Curated endocrine and systemic immunometabolic signalling	17	BMI_lt_18_5	13	-0.029578444018575234	0.3400028771596821	-0.031473754425353356
M13_curated_endocrine_immunometabolic	Curated endocrine and systemic immunometabolic signalling	26	BMI_ge_18_5	17	0.22246726827290147	0.48669430953474957	0.18881058414482957
M13_curated_endocrine_immunometabolic	Curated endocrine and systemic immunometabolic signalling	26	BMI_lt_18_5	13	0.08656965112275171	0.2785433868919309	0.08457169364926419
M13_curated_endocrine_immunometabolic	Curated endocrine and systemic immunometabolic signalling	52	BMI_ge_18_5	17	0.30248984968208575	0.34139406921158894	0.2702442419841923
M13_curated_endocrine_immunometabolic	Curated endocrine and systemic immunometabolic signalling	52	BMI_lt_18_5	13	0.21491983078440008	0.43466301030237753	0.0698643729649631
