module_id	module_label	visit_week	baseline_bmi_group	n	mean_delta_from_week0	sd_delta_from_week0	one_sample_t_p_vs_zero	one_sample_t_q_BH_global
M12_vitaminD_AMP_mucosal_humoral	Vitamin D, antimicrobial peptide and mucosal/humoral immunity proxy	52	BMI_ge_18_5	17	-0.2025717989482271	0.338504636048086	0.0252764148431621	0.0547655654935179
M09_antigen_processing_hla_proteasome	HLA/MHC, proteasome and antigen presentation	52	BMI_ge_18_5	17	-0.135468805226483	0.2913100362677507	0.0732214993460537	0.1228231601933805
M07_phagocytosis_opsonophagocytosis_endocytosis	Phagocytosis, opsonophagocytosis and endocytosis	52	BMI_ge_18_5	17	-0.1273686035387408	0.184514094104061	0.0116736782400231	0.0311298086400617
M15_treatment_response_pk_safety_proxy	Treatment response, drug handling and safety proxy	52	BMI_ge_18_5	17	0.3199216663977048	0.3779159295952032	0.0030243655007608	0.016554421688375
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	52	BMI_ge_18_5	17	0.3296102493021157	0.5117888948084489	0.017276833872955	0.0427807314949362
M05_complement_coagulation_hemostasis	Complement, coagulation and hemostasis	52	BMI_ge_18_5	17	0.3581960029286368	0.632095167379545	0.0328005196131114	0.0656010392262228
M06_ecm_vascular_tissue_repair	ECM, vascular biology, tissue repair and fibrosis	52	BMI_ge_18_5	17	0.540641876033995	0.5555798103901042	0.0010057945761699	0.0095093305383338
M02_lipid_apolipoprotein_transport	Lipid, cholesterol and apolipoprotein transport	52	BMI_ge_18_5	17	0.57859619746584	0.5264600824418109	0.0003406848206532	0.0059052035579903
M13_endocrine_systemic_immunometabolic	Endocrine and systemic immunometabolic signalling	52	BMI_ge_18_5	17	0.5808400741042462	0.4619211982460217	9.036809416341825e-05	0.0053745746817871
M03_retinol_carrier_nutrition	Retinol, vitamin A and carrier-protein biology	52	BMI_ge_18_5	17	0.7816033439984453	1.056088962458023	0.007615173010155	0.0264328254243979
M01_inflammatory_acute_phase	Inflammatory resolution and acute-phase response	52	BMI_lt_18_5	13	-0.5406380726350702	0.7147352973164846	0.0183580007257868	0.0444007459414379
M10_macrophage_immunometabolism_mitochondrial	Macrophage immunometabolism and mitochondrial rewiring	52	BMI_lt_18_5	13	-0.1690025898339687	0.4047411190067658	0.1580501514434938	0.2134703344171865
M07_phagocytosis_opsonophagocytosis_endocytosis	Phagocytosis, opsonophagocytosis and endocytosis	52	BMI_lt_18_5	13	-0.1685811976055556	0.1470298729415034	0.0013854660248971	0.010480366817259
M14_vesicles_exosomes_trafficking	Vesicles, exosomes and protein/lipid trafficking	52	BMI_lt_18_5	13	-0.1633157219319444	0.3376049489919554	0.1066623673582864	0.1607664667429244
M09_antigen_processing_hla_proteasome	HLA/MHC, proteasome and antigen presentation	52	BMI_lt_18_5	13	-0.1418640018020382	0.281281565871995	0.0940255833590087	0.1503471456722383
M12_vitaminD_AMP_mucosal_humoral	Vitamin D, antimicrobial peptide and mucosal/humoral immunity proxy	52	BMI_lt_18_5	13	0.0334561001419098	0.5208338395259884	0.8207471506085869	0.8406147771957837
M15_treatment_response_pk_safety_proxy	Treatment response, drug handling and safety proxy	52	BMI_lt_18_5	13	0.2137033163101568	0.3331618688929826	0.0392803945956217	0.0770785101498993
M05_complement_coagulation_hemostasis	Complement, coagulation and hemostasis	52	BMI_lt_18_5	13	0.2520156298873966	0.4415502285978043	0.062003252204328	0.1092938682923748
M08_lysosome_autophagy_xenophagy_proxy	Lysosome, autophagy and xenophagy proxy	52	BMI_lt_18_5	13	0.3304396679233756	0.3302396128363902	0.0035945243445519	0.0167139629565698
M13_endocrine_systemic_immunometabolic	Endocrine and systemic immunometabolic signalling	52	BMI_lt_18_5	13	0.4547923428991264	0.3742394909458016	0.0008937494104293	0.0092949938684648
M06_ecm_vascular_tissue_repair	ECM, vascular biology, tissue repair and fibrosis	52	BMI_lt_18_5	13	0.4562426079129345	0.525036298413069	0.0086415006195147	0.0264328254243979
M02_lipid_apolipoprotein_transport	Lipid, cholesterol and apolipoprotein transport	52	BMI_lt_18_5	13	0.4666223302614873	0.4802152998968452	0.0043537712594541	0.0174150850378166
M03_retinol_carrier_nutrition	Retinol, vitamin A and carrier-protein biology	52	BMI_lt_18_5	13	0.6088556904770264	0.7181599336188953	0.0099583635935337	0.0295905661065003
